Order ID,Product,Quantity Ordered, Price Each , PartialSum 
141354,Bose SoundSport Headphones,1, $99.99 , $99.99 
141355,27in 4K Gaming Monitor,1, $389.99 , $389.99 
141356,Lightning Charging Cable,1, $14.95 , $14.95 
141357,Lightning Charging Cable,1, $14.95 , $14.95 
141358,Lightning Charging Cable,1, $14.95 , $14.95 
141359,AAA Batteries (4-pack),2, $2.99 , $5.98 
141360,Macbook Pro Laptop,1," $1,700.00 "," $1,700.00 "
141361,Apple Airpods Headphones,2, $150.00 , $300.00 
141362,Lightning Charging Cable,1, $14.95 , $14.95 
141363,Wired Headphones,1, $11.99 , $11.99 
141364,AA Batteries (4-pack),1, $3.84 , $3.84 
141365,Vareebadd Phone,1, $400.00 , $400.00 
141365,Wired Headphones,1, $11.99 , $11.99 
141366,Flatscreen TV,1, $300.00 , $300.00 
141367,27in 4K Gaming Monitor,1, $389.99 , $389.99 
141368,USB-C Charging Cable,1, $11.95 , $11.95 
141369,Lightning Charging Cable,1, $14.95 , $14.95 
141370,AAA Batteries (4-pack),2, $2.99 , $5.98 
141371,Lightning Charging Cable,1, $14.95 , $14.95 
141372,AAA Batteries (4-pack),1, $2.99 , $2.99 
141373,27in FHD Monitor,1, $149.99 , $149.99 
141374,Wired Headphones,1, $11.99 , $11.99 
141375,27in 4K Gaming Monitor,1, $389.99 , $389.99 
141376,Wired Headphones,1, $11.99 , $11.99 
141377,Wired Headphones,1, $11.99 , $11.99 
141378,USB-C Charging Cable,1, $11.95 , $11.95 
141379,AA Batteries (4-pack),1, $3.84 , $3.84 
141380,USB-C Charging Cable,1, $11.95 , $11.95 
141381,Bose SoundSport Headphones,1, $99.99 , $99.99 
141382,AAA Batteries (4-pack),1, $2.99 , $2.99 
141383,AAA Batteries (4-pack),1, $2.99 , $2.99 
141384,Google Phone,1, $600.00 , $600.00 
141384,USB-C Charging Cable,1, $11.95 , $11.95 
141385,Macbook Pro Laptop,1," $1,700.00 "," $1,700.00 "
141386,Lightning Charging Cable,1, $14.95 , $14.95 
141387,AAA Batteries (4-pack),1, $2.99 , $2.99 
141388,Lightning Charging Cable,1, $14.95 , $14.95 
141389,AA Batteries (4-pack),1, $3.84 , $3.84 
141390,Wired Headphones,1, $11.99 , $11.99 
141391,Bose SoundSport Headphones,1, $99.99 , $99.99 
141392,Apple Airpods Headphones,1, $150.00 , $150.00 
141393,USB-C Charging Cable,1, $11.95 , $11.95 
141394,iPhone,1, $700.00 , $700.00 
141395,AAA Batteries (4-pack),1, $2.99 , $2.99 
141396,USB-C Charging Cable,1, $11.95 , $11.95 
141397,Lightning Charging Cable,1, $14.95 , $14.95 
141398,AAA Batteries (4-pack),1, $2.99 , $2.99 
141399,ThinkPad Laptop,1, $999.99 , $999.99 
141400,Lightning Charging Cable,1, $14.95 , $14.95 
141401,Apple Airpods Headphones,1, $150.00 , $150.00 
141402,AAA Batteries (4-pack),1, $2.99 , $2.99 
141403,Lightning Charging Cable,1, $14.95 , $14.95 
141404,AA Batteries (4-pack),1, $3.84 , $3.84 
141405,Wired Headphones,1, $11.99 , $11.99 
141406,USB-C Charging Cable,1, $11.95 , $11.95 
141407,Apple Airpods Headphones,1, $150.00 , $150.00 
141408,Apple Airpods Headphones,1, $150.00 , $150.00 
141409,Bose SoundSport Headphones,1, $99.99 , $99.99 
141410,27in FHD Monitor,1, $149.99 , $149.99 
141411,Wired Headphones,1, $11.99 , $11.99 
141412,AA Batteries (4-pack),2, $3.84 , $7.68 
141413,AA Batteries (4-pack),1, $3.84 , $3.84 
141414,Google Phone,1, $600.00 , $600.00 
141415,Wired Headphones,1, $11.99 , $11.99 
141416,AAA Batteries (4-pack),1, $2.99 , $2.99 
141417,Bose SoundSport Headphones,1, $99.99 , $99.99 
141418,Apple Airpods Headphones,1, $150.00 , $150.00 
141419,Wired Headphones,1, $11.99 , $11.99 
141420,Lightning Charging Cable,2, $14.95 , $29.90 
141421,Flatscreen TV,1, $300.00 , $300.00 
141422,Apple Airpods Headphones,1, $150.00 , $150.00 
141423,Lightning Charging Cable,2, $14.95 , $29.90 
141424,Apple Airpods Headphones,1, $150.00 , $150.00 
141425,Wired Headphones,1, $11.99 , $11.99 
141426,Google Phone,1, $600.00 , $600.00 
141427,USB-C Charging Cable,1, $11.95 , $11.95 
141428,AA Batteries (4-pack),1, $3.84 , $3.84 
141429,Apple Airpods Headphones,1, $150.00 , $150.00 
141430,34in Ultrawide Monitor,1, $379.99 , $379.99 
141431,USB-C Charging Cable,1, $11.95 , $11.95 
141432,USB-C Charging Cable,1, $11.95 , $11.95 
141433,Google Phone,1, $600.00 , $600.00 
141434,27in 4K Gaming Monitor,1, $389.99 , $389.99 
141435,USB-C Charging Cable,1, $11.95 , $11.95 
141436,Bose SoundSport Headphones,1, $99.99 , $99.99 
141437,iPhone,1, $700.00 , $700.00 
141438,Wired Headphones,2, $11.99 , $23.98 
141439,Flatscreen TV,1, $300.00 , $300.00 
141440,Google Phone,1, $600.00 , $600.00 
141441,AA Batteries (4-pack),1, $3.84 , $3.84 
141442,Google Phone,1, $600.00 , $600.00 
141443,Lightning Charging Cable,1, $14.95 , $14.95 
141444,AAA Batteries (4-pack),1, $2.99 , $2.99 
141445,USB-C Charging Cable,1, $11.95 , $11.95 
141446,Bose SoundSport Headphones,1, $99.99 , $99.99 
141447,AAA Batteries (4-pack),1, $2.99 , $2.99 
141448,Bose SoundSport Headphones,1, $99.99 , $99.99 
141449,USB-C Charging Cable,1, $11.95 , $11.95 
141450,Google Phone,1, $600.00 , $600.00 
141450,Bose SoundSport Headphones,1, $99.99 , $99.99 
141451,AA Batteries (4-pack),1, $3.84 , $3.84 
141452,Bose SoundSport Headphones,1, $99.99 , $99.99 
141453,Macbook Pro Laptop,1," $1,700.00 "," $1,700.00 "
141454,Bose SoundSport Headphones,1, $99.99 , $99.99 
141455,Apple Airpods Headphones,1, $150.00 , $150.00 
141456,AAA Batteries (4-pack),1, $2.99 , $2.99 
141457,iPhone,1, $700.00 , $700.00 
141457,Apple Airpods Headphones,1, $150.00 , $150.00 
141458,iPhone,1, $700.00 , $700.00 
141459,AAA Batteries (4-pack),1, $2.99 , $2.99 
141460,iPhone,1, $700.00 , $700.00 
141461,Lightning Charging Cable,1, $14.95 , $14.95 
141462,Wired Headphones,1, $11.99 , $11.99 
141463,Apple Airpods Headphones,1, $150.00 , $150.00 
141464,AA Batteries (4-pack),2, $3.84 , $7.68 
141465,Lightning Charging Cable,1, $14.95 , $14.95 
141466,AAA Batteries (4-pack),2, $2.99 , $5.98 
141467,Bose SoundSport Headphones,1, $99.99 , $99.99 
141468,Flatscreen TV,1, $300.00 , $300.00 
141469,Flatscreen TV,1, $300.00 , $300.00 
141470,AAA Batteries (4-pack),1, $2.99 , $2.99 
141471,Apple Airpods Headphones,1, $150.00 , $150.00 
141472,iPhone,1, $700.00 , $700.00 
141473,iPhone,1, $700.00 , $700.00 
141474,Apple Airpods Headphones,1, $150.00 , $150.00 
141475,Lightning Charging Cable,1, $14.95 , $14.95 
141476,iPhone,1, $700.00 , $700.00 
141477,AA Batteries (4-pack),1, $3.84 , $3.84 
141478,Google Phone,1, $600.00 , $600.00 
141478,Apple Airpods Headphones,1, $150.00 , $150.00 
141479,Bose SoundSport Headphones,1, $99.99 , $99.99 
141480,AA Batteries (4-pack),2, $3.84 , $7.68 
141481,AA Batteries (4-pack),1, $3.84 , $3.84 
141482,USB-C Charging Cable,1, $11.95 , $11.95 
141483,Flatscreen TV,1, $300.00 , $300.00 
141484,USB-C Charging Cable,1, $11.95 , $11.95 
141485,27in 4K Gaming Monitor,1, $389.99 , $389.99 
141486,USB-C Charging Cable,1, $11.95 , $11.95 
141487,Bose SoundSport Headphones,1, $99.99 , $99.99 
141488,Bose SoundSport Headphones,1, $99.99 , $99.99 
141489,AAA Batteries (4-pack),2, $2.99 , $5.98 
141490,27in FHD Monitor,1, $149.99 , $149.99 
141491,Bose SoundSport Headphones,1, $99.99 , $99.99 
141492,20in Monitor,1, $109.99 , $109.99 
141493,34in Ultrawide Monitor,1, $379.99 , $379.99 
141494,AA Batteries (4-pack),2, $3.84 , $7.68 
141495,Macbook Pro Laptop,1," $1,700.00 "," $1,700.00 "
141496,Wired Headphones,1, $11.99 , $11.99 
141497,Wired Headphones,1, $11.99 , $11.99 
141498,AA Batteries (4-pack),1, $3.84 , $3.84 
141499,Google Phone,1, $600.00 , $600.00 
141500,Google Phone,1, $600.00 , $600.00 
141501,AA Batteries (4-pack),1, $3.84 , $3.84 
141502,AA Batteries (4-pack),2, $3.84 , $7.68 
141503,27in 4K Gaming Monitor,1, $389.99 , $389.99 
141504,iPhone,1, $700.00 , $700.00 
141505,27in 4K Gaming Monitor,1, $389.99 , $389.99 
141506,Google Phone,1, $600.00 , $600.00 
141507,Apple Airpods Headphones,1, $150.00 , $150.00 
141508,USB-C Charging Cable,1, $11.95 , $11.95 
141509,Lightning Charging Cable,1, $14.95 , $14.95 
141510,Wired Headphones,2, $11.99 , $23.98 
141511,27in 4K Gaming Monitor,1, $389.99 , $389.99 
141512,Lightning Charging Cable,1, $14.95 , $14.95 
141513,Apple Airpods Headphones,1, $150.00 , $150.00 
141514,Google Phone,1, $600.00 , $600.00 
141515,34in Ultrawide Monitor,1, $379.99 , $379.99 
141516,LG Washing Machine,1, $600.00 , $600.00 
141517,iPhone,1, $700.00 , $700.00 
141518,Lightning Charging Cable,1, $14.95 , $14.95 
141519,Lightning Charging Cable,1, $14.95 , $14.95 
141520,iPhone,1, $700.00 , $700.00 
141521,Wired Headphones,1, $11.99 , $11.99 
141522,27in FHD Monitor,1, $149.99 , $149.99 
141523,Google Phone,1, $600.00 , $600.00 
141524,USB-C Charging Cable,1, $11.95 , $11.95 
141525,AAA Batteries (4-pack),2, $2.99 , $5.98 
141526,AA Batteries (4-pack),2, $3.84 , $7.68 
141527,Apple Airpods Headphones,1, $150.00 , $150.00 
141528,AAA Batteries (4-pack),3, $2.99 , $8.97 
141529,Bose SoundSport Headphones,1, $99.99 , $99.99 
141530,AAA Batteries (4-pack),1, $2.99 , $2.99 
141531,Flatscreen TV,1, $300.00 , $300.00 
141532,Lightning Charging Cable,1, $14.95 , $14.95 
141533,34in Ultrawide Monitor,1, $379.99 , $379.99 
141534,Bose SoundSport Headphones,1, $99.99 , $99.99 
141535,Wired Headphones,1, $11.99 , $11.99 
141536,AAA Batteries (4-pack),1, $2.99 , $2.99 
141537,Lightning Charging Cable,1, $14.95 , $14.95 
141538,27in FHD Monitor,1, $149.99 , $149.99 
141539,27in FHD Monitor,1, $149.99 , $149.99 
141540,Apple Airpods Headphones,1, $150.00 , $150.00 
141541,AAA Batteries (4-pack),1, $2.99 , $2.99 
141542,AA Batteries (4-pack),1, $3.84 , $3.84 
141543,Lightning Charging Cable,1, $14.95 , $14.95 
141544,Lightning Charging Cable,1, $14.95 , $14.95 
141545,Google Phone,1, $600.00 , $600.00 
141546,20in Monitor,1, $109.99 , $109.99 
141547,USB-C Charging Cable,2, $11.95 , $23.90 
141548,Lightning Charging Cable,1, $14.95 , $14.95 
141549,27in FHD Monitor,1, $149.99 , $149.99 
141550,iPhone,1, $700.00 , $700.00 
141550,Apple Airpods Headphones,2, $150.00 , $300.00 
141550,Wired Headphones,1, $11.99 , $11.99 
141551,Lightning Charging Cable,2, $14.95 , $29.90 
141552,Bose SoundSport Headphones,1, $99.99 , $99.99 
141553,Bose SoundSport Headphones,1, $99.99 , $99.99 
141554,USB-C Charging Cable,1, $11.95 , $11.95 
141555,AAA Batteries (4-pack),3, $2.99 , $8.97 
141556,USB-C Charging Cable,1, $11.95 , $11.95 
141557,Lightning Charging Cable,1, $14.95 , $14.95 
141558,27in 4K Gaming Monitor,1, $389.99 , $389.99 
141559,Wired Headphones,1, $11.99 , $11.99 
141560,34in Ultrawide Monitor,1, $379.99 , $379.99 
141561,Wired Headphones,1, $11.99 , $11.99 
141562,Bose SoundSport Headphones,1, $99.99 , $99.99 
141563,USB-C Charging Cable,1, $11.95 , $11.95 
141564,Apple Airpods Headphones,1, $150.00 , $150.00 
141565,Wired Headphones,1, $11.99 , $11.99 
141566,27in FHD Monitor,1, $149.99 , $149.99 
141567,Lightning Charging Cable,1, $14.95 , $14.95 
141568,ThinkPad Laptop,1, $999.99 , $999.99 
141569,Macbook Pro Laptop,1," $1,700.00 "," $1,700.00 "
141570,USB-C Charging Cable,1, $11.95 , $11.95 
141571,Lightning Charging Cable,1, $14.95 , $14.95 
141572,AAA Batteries (4-pack),1, $2.99 , $2.99 
141573,Lightning Charging Cable,1, $14.95 , $14.95 
141574,Lightning Charging Cable,1, $14.95 , $14.95 
141575,USB-C Charging Cable,1, $11.95 , $11.95 
141576,Apple Airpods Headphones,1, $150.00 , $150.00 
141577,Flatscreen TV,1, $300.00 , $300.00 
141578,Bose SoundSport Headphones,1, $99.99 , $99.99 
141579,Lightning Charging Cable,1, $14.95 , $14.95 
141580,AA Batteries (4-pack),1, $3.84 , $3.84 
141581,Apple Airpods Headphones,1, $150.00 , $150.00 
141582,iPhone,1, $700.00 , $700.00 
141583,USB-C Charging Cable,1, $11.95 , $11.95 
141584,Macbook Pro Laptop,1," $1,700.00 "," $1,700.00 "
141585,AA Batteries (4-pack),2, $3.84 , $7.68 
141586,Lightning Charging Cable,1, $14.95 , $14.95 
141587,USB-C Charging Cable,1, $11.95 , $11.95 
141587,Apple Airpods Headphones,1, $150.00 , $150.00 
141588,AA Batteries (4-pack),1, $3.84 , $3.84 
141589,Wired Headphones,1, $11.99 , $11.99 
141590,Bose SoundSport Headphones,1, $99.99 , $99.99 
141591,ThinkPad Laptop,1, $999.99 , $999.99 
141592,AA Batteries (4-pack),2, $3.84 , $7.68 
141593,Bose SoundSport Headphones,1, $99.99 , $99.99 
141594,AAA Batteries (4-pack),1, $2.99 , $2.99 
141595,ThinkPad Laptop,1, $999.99 , $999.99 
141596,Lightning Charging Cable,1, $14.95 , $14.95 
141597,AAA Batteries (4-pack),2, $2.99 , $5.98 
141598,20in Monitor,1, $109.99 , $109.99 
141599,AAA Batteries (4-pack),1, $2.99 , $2.99 
141600,AAA Batteries (4-pack),2, $2.99 , $5.98 
141601,Lightning Charging Cable,1, $14.95 , $14.95 
141602,27in FHD Monitor,1, $149.99 , $149.99 
141603,Wired Headphones,1, $11.99 , $11.99 
141604,27in FHD Monitor,1, $149.99 , $149.99 
141605,Wired Headphones,1, $11.99 , $11.99 
141606,Lightning Charging Cable,1, $14.95 , $14.95 
141607,AA Batteries (4-pack),2, $3.84 , $7.68 
141608,Lightning Charging Cable,1, $14.95 , $14.95 
141609,Apple Airpods Headphones,1, $150.00 , $150.00 
141610,Lightning Charging Cable,1, $14.95 , $14.95 
141611,Apple Airpods Headphones,1, $150.00 , $150.00 
141612,Apple Airpods Headphones,1, $150.00 , $150.00 
141613,AAA Batteries (4-pack),1, $2.99 , $2.99 
141614,AA Batteries (4-pack),1, $3.84 , $3.84 
141615,Wired Headphones,1, $11.99 , $11.99 
141616,AA Batteries (4-pack),1, $3.84 , $3.84 
141617,Wired Headphones,1, $11.99 , $11.99 
141618,Bose SoundSport Headphones,1, $99.99 , $99.99 
141619,27in FHD Monitor,1, $149.99 , $149.99 
141620,AAA Batteries (4-pack),3, $2.99 , $8.97 
141621,AAA Batteries (4-pack),1, $2.99 , $2.99 
141622,USB-C Charging Cable,1, $11.95 , $11.95 
141623,Google Phone,1, $600.00 , $600.00 
141624,USB-C Charging Cable,1, $11.95 , $11.95 
141625,AAA Batteries (4-pack),4, $2.99 , $11.96 
141626,Apple Airpods Headphones,1, $150.00 , $150.00 
141627,Flatscreen TV,1, $300.00 , $300.00 
141628,AA Batteries (4-pack),1, $3.84 , $3.84 
141629,27in FHD Monitor,1, $149.99 , $149.99 
141630,USB-C Charging Cable,1, $11.95 , $11.95 
141631,Lightning Charging Cable,1, $14.95 , $14.95 
141632,iPhone,1, $700.00 , $700.00 
141633,AA Batteries (4-pack),1, $3.84 , $3.84 
141634,AAA Batteries (4-pack),1, $2.99 , $2.99 
141635,Wired Headphones,1, $11.99 , $11.99 
141636,Apple Airpods Headphones,1, $150.00 , $150.00 
141637,AA Batteries (4-pack),2, $3.84 , $7.68 
141638,AAA Batteries (4-pack),2, $2.99 , $5.98 
141639,ThinkPad Laptop,1, $999.99 , $999.99 
141640,Macbook Pro Laptop,1," $1,700.00 "," $1,700.00 "
141641,20in Monitor,1, $109.99 , $109.99 
141642,AAA Batteries (4-pack),1, $2.99 , $2.99 
141643,Bose SoundSport Headphones,1, $99.99 , $99.99 
141644,AAA Batteries (4-pack),1, $2.99 , $2.99 
141645,Lightning Charging Cable,1, $14.95 , $14.95 
141645,Wired Headphones,1, $11.99 , $11.99 
141646,Lightning Charging Cable,1, $14.95 , $14.95 
141647,20in Monitor,1, $109.99 , $109.99 
141648,Google Phone,1, $600.00 , $600.00 
141649,Lightning Charging Cable,1, $14.95 , $14.95 
141650,AAA Batteries (4-pack),2, $2.99 , $5.98 
141651,AA Batteries (4-pack),1, $3.84 , $3.84 
141652,Lightning Charging Cable,1, $14.95 , $14.95 
141653,AA Batteries (4-pack),1, $3.84 , $3.84 
141654,AA Batteries (4-pack),1, $3.84 , $3.84 
141655,Wired Headphones,1, $11.99 , $11.99 
141656,Apple Airpods Headphones,1, $150.00 , $150.00 
141657,AAA Batteries (4-pack),1, $2.99 , $2.99 
141658,AA Batteries (4-pack),1, $3.84 , $3.84 
141659,Macbook Pro Laptop,1," $1,700.00 "," $1,700.00 "
141660,USB-C Charging Cable,1, $11.95 , $11.95 
141661,USB-C Charging Cable,1, $11.95 , $11.95 
141662,AAA Batteries (4-pack),1, $2.99 , $2.99 
141663,iPhone,1, $700.00 , $700.00 
141664,Google Phone,1, $600.00 , $600.00 
141665,27in 4K Gaming Monitor,1, $389.99 , $389.99 
141666,AA Batteries (4-pack),2, $3.84 , $7.68 
141667,Lightning Charging Cable,3, $14.95 , $44.85 
141668,Lightning Charging Cable,1, $14.95 , $14.95 
141669,27in 4K Gaming Monitor,1, $389.99 , $389.99 
141670,iPhone,1, $700.00 , $700.00 
141671,AAA Batteries (4-pack),2, $2.99 , $5.98 
141672,Wired Headphones,1, $11.99 , $11.99 
141673,USB-C Charging Cable,1, $11.95 , $11.95 
141674,AAA Batteries (4-pack),1, $2.99 , $2.99 
141675,USB-C Charging Cable,3, $11.95 , $35.85 
141676,Vareebadd Phone,1, $400.00 , $400.00 
141677,27in FHD Monitor,1, $149.99 , $149.99 
141678,Apple Airpods Headphones,1, $150.00 , $150.00 
141679,34in Ultrawide Monitor,1, $379.99 , $379.99 
141680,USB-C Charging Cable,2, $11.95 , $23.90 
141681,AA Batteries (4-pack),1, $3.84 , $3.84 
141682,34in Ultrawide Monitor,1, $379.99 , $379.99 
141683,AAA Batteries (4-pack),1, $2.99 , $2.99 
141684,27in 4K Gaming Monitor,1, $389.99 , $389.99 
141685,Wired Headphones,1, $11.99 , $11.99 
141686,Apple Airpods Headphones,1, $150.00 , $150.00 
141687,AA Batteries (4-pack),1, $3.84 , $3.84 
141688,AA Batteries (4-pack),1, $3.84 , $3.84 
141689,34in Ultrawide Monitor,1, $379.99 , $379.99 
141690,Macbook Pro Laptop,1," $1,700.00 "," $1,700.00 "
141691,34in Ultrawide Monitor,1, $379.99 , $379.99 
141692,Bose SoundSport Headphones,1, $99.99 , $99.99 
141693,Wired Headphones,1, $11.99 , $11.99 
141694,Wired Headphones,1, $11.99 , $11.99 
141695,AAA Batteries (4-pack),1, $2.99 , $2.99 
141696,Vareebadd Phone,1, $400.00 , $400.00 
141697,Lightning Charging Cable,1, $14.95 , $14.95 
141698,27in 4K Gaming Monitor,1, $389.99 , $389.99 
141699,USB-C Charging Cable,1, $11.95 , $11.95 
141700,Apple Airpods Headphones,1, $150.00 , $150.00 
141701,Macbook Pro Laptop,1," $1,700.00 "," $1,700.00 "
141702,iPhone,1, $700.00 , $700.00 
141703,iPhone,1, $700.00 , $700.00 
141704,27in 4K Gaming Monitor,1, $389.99 , $389.99 
141705,Apple Airpods Headphones,1, $150.00 , $150.00 
141706,USB-C Charging Cable,1, $11.95 , $11.95 
141707,AA Batteries (4-pack),1, $3.84 , $3.84 
141708,Wired Headphones,1, $11.99 , $11.99 
141709,Google Phone,1, $600.00 , $600.00 
141710,USB-C Charging Cable,1, $11.95 , $11.95 
141711,USB-C Charging Cable,1, $11.95 , $11.95 
141712,AA Batteries (4-pack),1, $3.84 , $3.84 
141713,USB-C Charging Cable,1, $11.95 , $11.95 
141714,USB-C Charging Cable,1, $11.95 , $11.95 
141715,Bose SoundSport Headphones,1, $99.99 , $99.99 
141716,Bose SoundSport Headphones,1, $99.99 , $99.99 
141717,AAA Batteries (4-pack),1, $2.99 , $2.99 
141718,Google Phone,1, $600.00 , $600.00 
